,service,instance,anomaly_type,st_time,ed_time,data_type
36,MG,MG02,[NETWORK],1615048320,1615048620,train
37,Redis,Redis02,[CPU],1615053120,1615053420,train
38,Tomcat,Tomcat02,[JVM;MEMORY],1615060740,1615061040,train
39,IG,IG02,[CPU],1615070100,1615070400,train
40,Tomcat,Tomcat02,[NETWORK],1615073520,1615073820,train
41,Tomcat,Tomcat03,[CPU],1615075860,1615076160,train
42,IG,IG02,[CPU],1615086540,1615086840,train
43,Tomcat,Tomcat04,[MEMORY],1615091760,1615092060,train
44,IG,IG01,[CPU],1615094640,1615094940,train
45,MG,MG01,[NETWORK],1615104480,1615104780,train
46,Tomcat,Tomcat04,[NETWORK],1615105740,1615106040,train
47,Tomcat,Tomcat01,[CPU],1615110720,1615111020,train
48,apache,apache02,[NETWORK],1615114740,1615115040,train
49,Tomcat,Tomcat01,[NETWORK],1615124160,1615124460,train
50,apache,apache02,[NETWORK],1615248780,1615249080,train
51,IG,IG02,[NETWORK],1615252680,1615252980,train
52,Tomcat,Tomcat04,[CPU],1615255020,1615255320,train
53,Tomcat,Tomcat01,[NETWORK],1615260000,1615260300,train
54,MG,MG02,[NETWORK],1615266600,1615266900,train
55,MG,MG02,[NETWORK],1615270440,1615270740,train
56,Redis,Redis02,[CPU],1615272120,1615272420,train
57,Tomcat,Tomcat01,[NETWORK],1615274700,1615275000,train
58,Tomcat,Tomcat02,[JVM;MEMORY],1615278180,1615278480,train
59,MG,MG02,[NETWORK],1615280160,1615280460,train
60,IG,IG02,[CPU],1615284480,1615284780,train
61,Tomcat,Tomcat02,[NETWORK],1615288440,1615288740,train
62,Tomcat,Tomcat03,[CPU],1615290120,1615290420,train
63,apache,apache01,[NETWORK],1615292700,1615293000,train
64,apache,apache01,[NETWORK],1615295220,1615295520,train
65,IG,IG02,[CPU],1615300320,1615300620,train
66,Tomcat,Tomcat04,[MEMORY],1615305180,1615305480,train
67,IG,IG01,[CPU],1615306740,1615307040,train
68,Tomcat,Tomcat01,[CPU],1615322280,1615322580,train
69,apache,apache02,[NETWORK],1615331940,1615332240,train
70,apache,apache01,[CPU],1615336200,1615336500,train
71,Tomcat,Tomcat01,[NETWORK],1615344180,1615344480,train
72,Tomcat,Tomcat02,[JVM;CPU],1615358220,1615358520,test
73,apache,apache02,[NETWORK],1615359720,1615360020,train
74,apache,apache02,[NETWORK],1615360740,1615361040,train
75,Tomcat,Tomcat01,[NETWORK],1615365720,1615366020,train
76,Tomcat,Tomcat02,[JVM;MEMORY],1615369860,1615370160,test
77,Tomcat,Tomcat03,[NETWORK],1615373820,1615374120,train
78,Mysql,Mysql01,[MEMORY],1615515120,1615515420,test
79,IG,IG02,[CPU],1615515840,1615516140,train
80,MG,MG01,[NETWORK],1615517640,1615517940,train
81,Tomcat,Tomcat01,[NETWORK],1615522380,1615522680,train
82,MG,MG02,[NETWORK],1615528980,1615529280,train
83,IG,IG01,[NETWORK],1615530420,1615530720,train
84,MG,MG01,[CPU],1615533000,1615533300,train
85,MG,MG01,[NETWORK],1615534680,1615534980,train
86,apache,apache02,[NETWORK],1615537560,1615537860,train
87,Redis,Redis02,[CPU],1615540440,1615540740,train
88,Tomcat,Tomcat02,[JVM;MEMORY],1615543200,1615543500,test
89,Redis,Redis01,[CPU],1615553160,1615553460,train
90,Tomcat,Tomcat03,[NETWORK],1615559700,1615560000,train
91,apache,apache02,[NETWORK],1615563180,1615563480,train
92,Tomcat,Tomcat03,[CPU],1616428980,1616429280,train
93,Tomcat,Tomcat01,[MEMORY],1616438160,1616438460,test
94,Tomcat,Tomcat02,[NETWORK],1616448480,1616448780,train
95,MG,MG01,[NETWORK],1616452920,1616453220,train
96,Tomcat,Tomcat04,[NETWORK],1616480640,1616480940,train
97,MG,MG01,[NETWORK],1616482200,1616482500,train
98,Tomcat,Tomcat04,[NETWORK],1616489640,1616489940,train
99,MG,MG02,[NETWORK],1616492520,1616492820,train
100,MG,MG01,[NETWORK],1616493780,1616494080,train
101,Tomcat,Tomcat03,[CPU],1616496180,1616496480,train
102,Tomcat,Tomcat04,[NETWORK],1616504820,1616505120,train
103,MG,MG02,[NETWORK],1616511840,1616512140,train
104,Tomcat,Tomcat03,[NETWORK],1616555280,1616555580,train
105,Tomcat,Tomcat01,[NETWORK],1616556660,1616556960,train
106,Tomcat,Tomcat02,[NETWORK],1616567400,1616567700,train
107,MG,MG01,[NETWORK],1616569560,1616569860,train
108,Tomcat,Tomcat01,[CPU],1616575620,1616575920,train
109,MG,MG01,[NETWORK],1616585040,1616585340,train
110,MG,MG02,[NETWORK],1616586600,1616586900,test
111,Tomcat,Tomcat03,[NETWORK],1616589240,1616589540,test
112,IG,IG02,[NETWORK],1616592480,1616592780,test
113,MG,MG02,[NETWORK],1616602020,1616602320,test
114,apache,apache02,[CPU],1616625600,1616625900,train
115,Tomcat,Tomcat03,[NETWORK],1616629200,1616629500,test
116,MG,MG01,[CPU],1616636280,1616636580,test
117,Mysql,Mysql02,[CPU],1616644380,1616644680,test
118,Tomcat,Tomcat03,[NETWORK],1616655240,1616655540,test
119,Mysql,Mysql02,[CPU],1616658120,1616658420,test
120,Tomcat,Tomcat01,[NETWORK],1616664120,1616664420,test
121,IG,IG02,[NETWORK],1616667180,1616667480,test
122,IG,IG02,[CPU],1616670000,1616670300,test
123,Tomcat,Tomcat04,[NETWORK],1616670900,1616671200,test
124,Tomcat,Tomcat04,[CPU],1616672400,1616672700,test
125,MG,MG01,[NETWORK],1616675100,1616675400,test
126,apache,apache01,[NETWORK],1616676600,1616676900,test
127,MG,MG02,[NETWORK],1616680860,1616681160,test
128,Redis,Redis02,[CPU],1616685360,1616685660,test
