,Unnamed: 0,anomaly_type,起始crontab,截止crontab,st_time,ed_time,起始日期,截止日期,duration,instance,Unnamed: 0.1,service,data_type
60,,[http/grpc_request_delay],30 1 22 3 5,57 1 22 3 5,1711071040.0,1711072640.0,2024/3/22 9:30,2024/3/22 9:57,1600,frontend,17.0,frontend,train
61,,[http/grpc_request_delay],20 2 22 3 5,47 2 22 3 5,1711074040.0,1711075640.0,2024/3/22 10:20,2024/3/22 10:47,1600,checkoutservice,18.0,checkoutservice,train
62,,[network_delay],10 3 22 3 5,37 3 22 3 5,1711077040.0,1711078640.0,2024/3/22 11:10,2024/3/22 11:37,1600,frontend,19.0,frontend,train
63,cyy,[http/grpc_request_delay],12 3 22 3 5,38 3 22 3 5,1711077120.0,1711078720.0,2024/3/22 11:12,2024/3/22 11:38,1600,cartservice,22.0,cartservice,train
64,,[pod_anomaly],57 3 22 3 5,2 4 22 3 5,1711079840.0,1711080140.0,2024/3/22 11:57,2024/3/22 12:02,300,currencyservice,20.0,currencyservice,test
65,,[cpu_anomaly],58 3 22 3 5,0 4 22 3 5,1711079920.0,1711080040.0,2024/3/22 11:58,2024/3/22 12:00,120,cartservice,23.0,cartservice,test
66,,[http/grpc_request_delay],19 4 22 3 5,45 4 22 3 5,1711081140.0,1711082740.0,2024/3/22 12:19,2024/3/22 12:45,1600,frontend,21.0,frontend,train
67,,[cpu_anomaly],20 4 22 3 5,24 4 22 3 5,1711081240.0,1711081480.0,2024/3/22 12:20,2024/3/22 12:24,240,emailservice,24.0,emailservice,test
68,,[http/grpc_request_delay],48 4 22 3 5,14 5 22 3 5,1711082880.0,1711084480.0,2024/3/22 12:48,2024/3/22 13:14,1600,recommendationservice,25.0,recommendationservice,train
69,,[http/grpc_request_abscence],34 5 22 3 5,1 6 22 3 5,1711085680.0,1711087280.0,2024/3/22 13:34,2024/3/22 14:01,1600,checkoutservice,26.0,checkoutservice,train
70,,[memory_overload],21 6 22 3 5,25 6 22 3 5,1711088480.0,1711088720.0,2024/3/22 14:21,2024/3/22 14:25,240,currencyservice,27.0,currencyservice,train
71,,[memory_overload],42 6 22 3 5,43 6 22 3 5,1711089720.0,1711089810.0,2024/3/22 14:42,2024/3/22 14:43,90,currencyservice,28.0,currencyservice,train
72,,[http/grpc_request_delay],1 7 22 3 5,28 7 22 3 5,1711090910.0,1711092510.0,2024/3/22 15:01,2024/3/22 15:28,1600,frontend,29.0,frontend,train
73,,[http/grpc_request_abscence],51 7 22 3 5,18 8 22 3 5,1711093910.0,1711095510.0,2024/3/22 15:51,2024/3/22 16:18,1600,emailservice,30.0,emailservice,train
74,,[memory_overload],38 8 22 3 5,40 8 22 3 5,1711096710.0,1711096800.0,2024/3/22 16:38,2024/3/22 16:40,90,frontend,31.0,frontend,train
75,,[cpu_anomaly],55 8 22 3 5,59 8 22 3 5,1711097700.0,1711097940.0,2024/3/22 16:55,2024/3/22 16:59,240,cartservice,32.0,cartservice,test
76,,[pod_anomaly],19 9 22 3 5,24 9 22 3 5,1711099140.0,1711099440.0,2024/3/22 17:19,2024/3/22 17:24,300,paymentservice,33.0,paymentservice,test
77,,[network_loss],40 9 22 3 5,7 10 22 3 5,1711100440.0,1711102040.0,2024/3/22 17:40,2024/3/22 18:07,1600,checkoutservice,34.0,checkoutservice,train
78,,[http/grpc_request_delay],30 10 22 3 5,57 10 22 3 5,1711103440.0,1711105040.0,2024/3/22 18:30,2024/3/22 18:57,1600,frontend,35.0,frontend,train
79,,[http/grpc_request_abscence],17 11 22 3 5,44 11 22 3 5,1711106240.0,1711107840.0,2024/3/22 19:17,2024/3/22 19:44,1600,cartservice,36.0,cartservice,train
80,,[cpu_anomaly],4 12 22 3 5,5 12 22 3 5,1711109040.0,1711109130.0,2024/3/22 20:04,2024/3/22 20:05,90,productcatalogservice,37.0,productcatalogservice,test
81,,[cpu_anomaly],25 12 22 3 5,30 12 22 3 5,1711110330.0,1711110630.0,2024/3/22 20:25,2024/3/22 20:30,300,checkoutservice,38.0,checkoutservice,test
82,,[http/grpc_request_delay],53 12 22 3 5,20 13 22 3 5,1711112030.0,1711113630.0,2024/3/22 20:53,2024/3/22 21:20,1600,checkoutservice,39.0,checkoutservice,train
83,,[pod_anomaly],43 13 22 3 5,45 13 22 3 5,1711115030.0,1711115150.0,2024/3/22 21:43,2024/3/22 21:45,120,cartservice,40.0,cartservice,test
84,,[http/grpc_request_abscence],4 14 22 3 5,30 14 22 3 5,1711116250.0,1711117850.0,2024/3/22 22:04,2024/3/22 22:30,1600,frontend,41.0,frontend,test
85,,[cpu_anomaly],50 14 22 3 5,52 14 22 3 5,1711119050.0,1711119170.0,2024/3/22 22:50,2024/3/22 22:52,120,productcatalogservice,42.0,productcatalogservice,test
86,,[pod_anomaly],12 15 22 3 5,16 15 22 3 5,1711120370.0,1711120610.0,2024/3/22 23:12,2024/3/22 23:16,240,currencyservice,43.0,currencyservice,test
87,,[network_loss],35 15 22 3 5,1 16 22 3 5,1711121710.0,1711123310.0,2024/3/22 23:35,2024/3/23 0:01,1600,shippingservice,44.0,shippingservice,train
88,42,[memory_overload],27 16 22 3 5,31 16 22 3 5,1711124830.0,1711125070.0,2024-03-23 00:27:10,2024-03-23 00:31:10,240,checkoutservice,,checkoutservice,train
89,43,[http/grpc_request_abscence],47 16 22 3 5,14 17 22 3 5,1711126070.0,1711127670.0,2024-03-23 00:47:50,2024-03-23 01:14:30,1600,checkoutservice,,checkoutservice,test
90,44,[pod_anomaly],37 17 22 3 5,39 17 22 3 5,1711129070.0,1711129160.0,2024-03-23 01:37:50,2024-03-23 01:39:20,90,currencyservice,,currencyservice,test
91,45,[http/grpc_request_delay],54 17 22 3 5,21 18 22 3 5,1711130060.0,1711131660.0,2024-03-23 01:54:20,2024-03-23 02:21:00,1600,checkoutservice,,checkoutservice,train
92,46,[memory_overload],41 18 22 3 5,45 18 22 3 5,1711132860.0,1711133100.0,2024-03-23 02:41:00,2024-03-23 02:45:00,240,recommendationservice,,recommendationservice,test
93,47,[network_loss],1 19 22 3 5,28 19 22 3 5,1711134100.0,1711135700.0,2024-03-23 03:01:40,2024-03-23 03:28:20,1600,frontend,,frontend,test
94,48,[pod_anomaly],51 19 22 3 5,53 19 22 3 5,1711137100.0,1711137220.0,2024-03-23 03:51:40,2024-03-23 03:53:40,120,paymentservice,,paymentservice,test
95,49,[http/grpc_request_abscence],13 20 22 3 5,40 20 22 3 5,1711138420.0,1711140020.0,2024-03-23 04:13:40,2024-03-23 04:40:20,1600,checkoutservice,,checkoutservice,test
96,50,[memory_overload],0 21 22 3 5,4 21 22 3 5,1711141220.0,1711141460.0,2024-03-23 05:00:20,2024-03-23 05:04:20,240,frontend,,frontend,test
97,51,[pod_anomaly],19 21 22 3 5,20 21 22 3 5,1711142360.0,1711142450.0,2024-03-23 05:19:20,2024-03-23 05:20:50,90,paymentservice,,paymentservice,test
98,52,[memory_overload],35 21 22 3 5,39 21 22 3 5,1711143350.0,1711143590.0,2024-03-23 05:35:50,2024-03-23 05:39:50,240,cartservice,,cartservice,test
99,53,[http/grpc_request_abscence],58 21 22 3 5,24 22 22 3 5,1711144690.0,1711146290.0,2024-03-23 05:58:10,2024-03-23 06:24:50,1600,checkoutservice,,checkoutservice,test
100,54,[http/grpc_request_delay],48 22 22 3 5,14 23 22 3 5,1711147690.0,1711149290.0,2024-03-23 06:48:10,2024-03-23 07:14:50,1600,frontend,,frontend,train
101,55,[network_loss],34 23 22 3 5,1 0 23 3 6,1711150490.0,1711152090.0,2024-03-23 07:34:50,2024-03-23 08:01:30,1600,frontend,,frontend,test
102,56,[network_delay],24 0 23 3 6,51 0 23 3 6,1711153490.0,1711155090.0,2024-03-23 08:24:50,2024-03-23 08:51:30,1600,frontend,,frontend,train
103,57,[memory_overload],14 1 23 3 6,18 1 23 3 6,1711156490.0,1711156730.0,2024-03-23 09:14:50,2024-03-23 09:18:50,240,currencyservice,,currencyservice,test
104,58,[network_delay],35 1 23 3 6,2 2 23 3 6,1711157730.0,1711159330.0,2024-03-23 09:35:30,2024-03-23 10:02:10,1600,frontend,,frontend,train
105,59,[memory_overload],22 2 23 3 6,23 2 23 3 6,1711160530.0,1711160620.0,2024-03-23 10:22:10,2024-03-23 10:23:40,90,paymentservice,,paymentservice,test
106,60,[network_loss],40 2 23 3 6,7 3 23 3 6,1711161620.0,1711163220.0,2024-03-23 10:40:20,2024-03-23 11:07:00,1600,frontend,,frontend,test
107,61,[http/grpc_request_delay],27 3 23 3 6,53 3 23 3 6,1711164420.0,1711166020.0,2024-03-23 11:27:00,2024-03-23 11:53:40,1600,frontend,,frontend,train
108,62,[cpu_anomaly],13 4 23 3 6,15 4 23 3 6,1711167220.0,1711167310.0,2024-03-23 12:13:40,2024-03-23 12:15:10,90,cartservice,,cartservice,test
109,63,[http/grpc_request_delay],38 4 23 3 6,5 5 23 3 6,1711168710.0,1711170310.0,2024-03-23 12:38:30,2024-03-23 13:05:10,1600,checkoutservice,,checkoutservice,test
110,64,[http/grpc_request_delay],28 5 23 3 6,55 5 23 3 6,1711171710.0,1711173310.0,2024-03-23 13:28:30,2024-03-23 13:55:10,1600,frontend,,frontend,test
111,65,[network_delay],15 6 23 3 6,41 6 23 3 6,1711174510.0,1711176110.0,2024-03-23 14:15:10,2024-03-23 14:41:50,1600,frontend,,frontend,test
112,66,[http/grpc_request_abscence],1 7 23 3 6,28 7 23 3 6,1711177310.0,1711178910.0,2024-03-23 15:01:50,2024-03-23 15:28:30,1600,checkoutservice,,checkoutservice,test
113,67,[http/grpc_request_delay],51 7 23 3 6,18 8 23 3 6,1711180310.0,1711181910.0,2024-03-23 15:51:50,2024-03-23 16:18:30,1600,frontend,,frontend,test
114,68,[http/grpc_request_delay],38 8 23 3 6,5 9 23 3 6,1711183110.0,1711184710.0,2024-03-23 16:38:30,2024-03-23 17:05:10,1600,frontend,,frontend,test
115,69,[http/grpc_request_delay],28 9 23 3 6,55 9 23 3 6,1711186110.0,1711187710.0,2024-03-23 17:28:30,2024-03-23 17:55:10,1600,frontend,,frontend,test
116,70,[pod_anomaly],18 10 23 3 6,20 10 23 3 6,1711189110.0,1711189230.0,2024-03-23 18:18:30,2024-03-23 18:20:30,120,cartservice,,cartservice,test
117,71,[network_delay],35 10 23 3 6,2 11 23 3 6,1711190130.0,1711191730.0,2024-03-23 18:35:30,2024-03-23 19:02:10,1600,frontend,,frontend,test
118,72,[pod_anomaly],25 11 23 3 6,29 11 23 3 6,1711193130.0,1711193370.0,2024-03-23 19:25:30,2024-03-23 19:29:30,240,paymentservice,,paymentservice,test
119,73,[http/grpc_request_delay],47 11 23 3 6,14 12 23 3 6,1711194470.0,1711196070.0,2024-03-23 19:47:50,2024-03-23 20:14:30,1600,frontend,,frontend,test
120,74,[http/grpc_request_abscence],34 12 23 3 6,1 13 23 3 6,1711197270.0,1711198870.0,2024-03-23 20:34:30,2024-03-23 21:01:10,1600,frontend,,frontend,test
121,75,[pod_anomaly],24 13 23 3 6,29 13 23 3 6,1711200270.0,1711200570.0,2024-03-23 21:24:30,2024-03-23 21:29:30,300,recommendationservice,,recommendationservice,test
122,76,[cpu_anomaly],47 13 23 3 6,49 13 23 3 6,1711201670.0,1711201760.0,2024-03-23 21:47:50,2024-03-23 21:49:20,90,cartservice,,cartservice,test
123,77,[network_loss],12 14 23 3 6,39 14 23 3 6,1711203160.0,1711204760.0,2024-03-23 22:12:40,2024-03-23 22:39:20,1600,frontend,,frontend,test
124,78,[cpu_anomaly],2 15 23 3 6,4 15 23 3 6,1711206160.0,1711206280.0,2024-03-23 23:02:40,2024-03-23 23:04:40,120,shippingservice,,shippingservice,test
125,79,[network_delay],28 15 23 3 6,54 15 23 3 6,1711207680.0,1711209280.0,2024-03-23 23:28:00,2024-03-23 23:54:40,1600,frontend,,frontend,test
126,80,[network_delay],18 16 23 3 6,44 16 23 3 6,1711210680.0,1711212280.0,2024-03-24 00:18:00,2024-03-24 00:44:40,1600,frontend,,frontend,test
127,81,[network_delay],8 17 23 3 6,34 17 23 3 6,1711213680.0,1711215280.0,2024-03-24 01:08:00,2024-03-24 01:34:40,1600,frontend,,frontend,test
128,82,[network_delay],58 17 23 3 6,24 18 23 3 6,1711216680.0,1711218280.0,2024-03-24 01:58:00,2024-03-24 02:24:40,1600,frontend,,frontend,test
129,83,[pod_anomaly],48 18 23 3 6,50 18 23 3 6,1711219680.0,1711219800.0,2024-03-24 02:48:00,2024-03-24 02:50:00,120,shippingservice,,shippingservice,test
130,84,[http/grpc_request_delay],6 19 23 3 6,33 19 23 3 6,1711220800.0,1711222400.0,2024-03-24 03:06:40,2024-03-24 03:33:20,1600,checkoutservice,,checkoutservice,test
131,85,[http/grpc_request_delay],53 19 23 3 6,20 20 23 3 6,1711223600.0,1711225200.0,2024-03-24 03:53:20,2024-03-24 04:20:00,1600,checkoutservice,,checkoutservice,test
132,86,[http/grpc_request_abscence],43 20 23 3 6,10 21 23 3 6,1711226600.0,1711228200.0,2024-03-24 04:43:20,2024-03-24 05:10:00,1600,frontend,,frontend,test
133,87,[http/grpc_request_abscence],33 21 23 3 6,0 22 23 3 6,1711229600.0,1711231200.0,2024-03-24 05:33:20,2024-03-24 06:00:00,1600,checkoutservice,,checkoutservice,test
134,88,[cpu_anomaly],23 22 23 3 6,28 22 23 3 6,1711232600.0,1711232900.0,2024-03-24 06:23:20,2024-03-24 06:28:20,300,paymentservice,,paymentservice,test
135,89,[pod_anomaly],48 22 23 3 6,50 22 23 3 6,1711234100.0,1711234220.0,2024-03-24 06:48:20,2024-03-24 06:50:20,120,checkoutservice,,checkoutservice,test
136,90,[network_delay],5 23 23 3 6,32 23 23 3 6,1711235120.0,1711236720.0,2024-03-24 07:05:20,2024-03-24 07:32:00,1600,frontend,,frontend,test
137,91,[http/grpc_request_abscence],52 23 23 3 6,18 0 24 3 0,1711237920.0,1711239520.0,2024-03-24 07:52:00,2024-03-24 08:18:40,1600,frontend,,frontend,test
138,92,[network_delay],42 0 24 3 0,8 1 24 3 0,1711240920.0,1711242520.0,2024-03-24 08:42:00,2024-03-24 09:08:40,1600,frontend,,frontend,test
139,93,[network_loss],28 1 24 3 0,55 1 24 3 0,1711243720.0,1711245320.0,2024-03-24 09:28:40,2024-03-24 09:55:20,1600,frontend,,frontend,test
140,94,[network_loss],18 2 24 3 0,45 2 24 3 0,1711246720.0,1711248320.0,2024-03-24 10:18:40,2024-03-24 10:45:20,1600,frontend,,frontend,test
141,95,[http/grpc_request_delay],8 3 24 3 0,35 3 24 3 0,1711249720.0,1711251320.0,2024-03-24 11:08:40,2024-03-24 11:35:20,1600,checkoutservice,,checkoutservice,test
142,96,[memory_overload],58 3 24 3 0,0 4 24 3 0,1711252720.0,1711252840.0,2024-03-24 11:58:40,2024-03-24 12:00:40,120,productcatalogservice,,productcatalogservice,test
143,97,[network_loss],17 4 24 3 0,44 4 24 3 0,1711253840.0,1711255440.0,2024-03-24 12:17:20,2024-03-24 12:44:00,1600,frontend,,frontend,test
144,98,[memory_overload],4 5 24 3 0,9 5 24 3 0,1711256640.0,1711256940.0,2024-03-24 13:04:00,2024-03-24 13:09:00,300,paymentservice,,paymentservice,test
145,99,[memory_overload],24 5 24 3 0,25 5 24 3 0,1711257840.0,1711257930.0,2024-03-24 13:24:00,2024-03-24 13:25:30,90,frontend,,frontend,test
146,100,[network_delay],45 5 24 3 0,12 6 24 3 0,1711259130.0,1711260730.0,2024-03-24 13:45:30,2024-03-24 14:12:10,1600,frontend,,frontend,test
147,101,[network_loss],35 6 24 3 0,2 7 24 3 0,1711262130.0,1711263730.0,2024-03-24 14:35:30,2024-03-24 15:02:10,1600,frontend,,frontend,test
148,102,[memory_overload],25 7 24 3 0,30 7 24 3 0,1711265130.0,1711265430.0,2024-03-24 15:25:30,2024-03-24 15:30:30,300,checkoutservice,,checkoutservice,test
149,103,[memory_overload],50 7 24 3 0,54 7 24 3 0,1711266630.0,1711266870.0,2024-03-24 15:50:30,2024-03-24 15:54:30,240,cartservice,,cartservice,test
150,104,[memory_overload],14 8 24 3 0,19 8 24 3 0,1711268070.0,1711268370.0,2024-03-24 16:14:30,2024-03-24 16:19:30,300,checkoutservice,,checkoutservice,test
151,105,[pod_anomaly],34 8 24 3 0,38 8 24 3 0,1711269270.0,1711269510.0,2024-03-24 16:34:30,2024-03-24 16:38:30,240,recommendationservice,,recommendationservice,test
152,106,[network_loss],56 8 24 3 0,23 9 24 3 0,1711270610.0,1711272210.0,2024-03-24 16:56:50,2024-03-24 17:23:30,1600,frontend,,frontend,test
153,107,[memory_overload],43 9 24 3 0,48 9 24 3 0,1711273410.0,1711273710.0,2024-03-24 17:43:30,2024-03-24 17:48:30,300,cartservice,,cartservice,test
154,108,[cpu_anomaly],5 10 24 3 0,10 10 24 3 0,1711274710.0,1711275010.0,2024-03-24 18:05:10,2024-03-24 18:10:10,300,recommendationservice,,recommendationservice,test
